city,count,coord,lat,lon
"Albany, NY",130,"(42.6511674, -73.754968)",42.6511674,-73.754968
"Albuquerque, NM",134,"(35.0841034, -106.6509851)",35.0841034,-106.6509851
"Anchorage, AK",76,"(61.2163129, -149.894852)",61.2163129,-149.894852
"Ann Arbor, MI",110,"(42.2681569, -83.7312291)",42.2681569,-83.7312291
"Annapolis, MD",75,"(38.9786401, -76.492786)",38.9786401,-76.492786
"Asheville, NC",76,"(35.6009498, -82.5540161)",35.6009498,-82.5540161
"Atlanta, GA",173,"(33.7849591, -84.442163)",33.7849591,-84.442163
"Austin, TX",302,"(30.2711286, -97.7436995)",30.2711286,-97.7436995
"Bakersfield, CA",78,"(35.3738712, -119.0194639)",35.3738712,-119.0194639
"Baltimore, MD",132,"(39.2908816, -76.610759)",39.2908816,-76.610759
"Berkeley, CA",114,"(37.8708393, -122.2728639)",37.8708393,-122.2728639
"Boise, ID",216,"(43.6166163, -116.200886)",43.6166163,-116.200886
"Boston, MA",365,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
"Buffalo, NY",122,"(42.8867166, -78.8783922)",42.8867166,-78.8783922
"Burlington, VT",96,"(44.4761601, -73.212906)",44.4761601,-73.212906
"Charleston, SC",71,"(32.7876012, -79.9402728)",32.7876012,-79.9402728
"Charlotte, NC",113,"(35.2272086, -80.8430827)",35.2272086,-80.8430827
"Charlottesville, VA",90,"(38.0360726, -78.49973472559668)",38.0360726,-78.49973473
"Chicago, IL",393,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
"Cleveland, OH",89,"(41.5051613, -81.6934446)",41.5051613,-81.6934446
"Colorado Springs, CO",108,"(38.8339578, -104.8253485)",38.8339578,-104.8253485
"Columbia, MO",158,"(38.951883, -92.3337366)",38.951883,-92.3337366
"Columbia, SC",86,"(34.0007493, -81.0343313)",34.0007493,-81.0343313
"Columbus, OH",143,"(39.9622601, -83.0007065)",39.9622601,-83.0007065
"Concord, NH",71,"(43.207178, -71.537476)",43.207178,-71.537476
"Dallas, TX",202,"(32.7762719, -96.7968559)",32.7762719,-96.7968559
"Denver, CO",237,"(5.3428475, -72.3959849)",39.7392,-104.9903
"Des Moines, IA",111,"(41.5910323, -93.6046655)",41.5910323,-93.6046655
"Detroit, MI",285,"(42.3315509, -83.0466403)",42.3315509,-83.0466403
"Durham, NC",86,"(35.996653, -78.9018053)",35.996653,-78.9018053
"El Paso, TX",104,"(31.7754152, -106.464634)",31.7754152,-106.464634
"Ellensburg, WA",120,"(46.9970635, -120.5451223)",46.9970635,-120.5451223
"Eugene, OR",137,"(44.0505054, -123.0950506)",44.0505054,-123.0950506
"Fort Worth, TX",75,"(32.753177, -97.3327459)",32.753177,-97.3327459
"Frankfort, KY",98,"(38.2009055, -84.8732836)",38.2009055,-84.8732836
"Gainesville, FL",80,"(29.6519684, -82.3249846)",29.6519684,-82.3249846
"Grand Rapids, MI",74,"(42.9632405, -85.6678639)",42.9632405,-85.6678639
"Harrisburg, PA",120,"(40.2663107, -76.8861122)",40.2663107,-76.8861122
"Hartford, CT",137,"(41.7655582, -72.69061276146614)",41.7655582,-72.69061276
"Houston, TX",129,"(29.7589382, -95.3676974)",29.7589382,-95.3676974
"Indianapolis, IN",146,"(39.9164009, -86.0519568269157)",39.9164009,-86.05195683
"Iowa City, IA",86,"(41.6612561, -91.5299106)",41.6612561,-91.5299106
"Jacksonville, FL",126,"(30.3321838, -81.655651)",30.3321838,-81.655651
"Kansas City, MO",123,"(39.100105, -94.5781416)",39.100105,-94.5781416
"Lansing, MI",123,"(42.7337712, -84.5553805)",42.7337712,-84.5553805
"Las Vegas, NV",155,"(36.1672559, -115.1485163)",36.1672559,-115.1485163
"Lexington, KY",106,"(38.0464066, -84.4970393)",38.0464066,-84.4970393
"Lincoln, NE",87,"(40.8088861, -96.7077751)",40.8088861,-96.7077751
"Little Rock, AR",72,"(34.7464809, -92.2895948)",34.7464809,-92.2895948
"Los Angeles, CA",450,"(34.0536909, -118.242766)",34.0536909,-118.242766
"Louisville, KY",289,"(38.2542376, -85.759407)",38.2542376,-85.759407
"Madison, WI",190,"(43.074761, -89.3837613)",43.074761,-89.3837613
"Memphis, TN",126,"(35.1490215, -90.0516285)",35.1490215,-90.0516285
"Miami, FL",150,"(25.7741728, -80.19362)",25.7741728,-80.19362
"Milwaukee, WI",152,"(43.0349931, -87.922497)",43.0349931,-87.922497
"Minneapolis, MN",204,"(44.9772995, -93.2654692)",44.9772995,-93.2654692
"Missoula, MT",72,"(46.8701049, -113.995267)",46.8701049,-113.995267
"Monmouth, OR",94,"(44.8486414, -123.2290777)",44.8486414,-123.2290777
"Montpelier, VT",88,"(44.2602164, -72.575114)",44.2602164,-72.575114
"Nashville, TN",158,"(36.1622296, -86.7743531)",36.1622296,-86.7743531
"New Haven, CT",106,"(41.298434349999994, -72.93102342707913)",41.29843435,-72.93102343
"New Orleans, LA",103,"(29.9499323, -90.0701156)",29.9499323,-90.0701156
"New York, NY",657,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
"Oakland, CA",140,"(37.8044557, -122.2713563)",37.8044557,-122.2713563
"Oklahoma City, OK",111,"(35.4729886, -97.5170536)",35.4729886,-97.5170536
"Olympia, WA",99,"(47.0451022, -122.8950075)",47.0451022,-122.8950075
"Omaha, NE",95,"(41.2587459, -95.9383758)",41.2587459,-95.9383758
"Orlando, FL",79,"(28.5421109, -81.3790304)",28.5421109,-81.3790304
"Palo Alto, CA",77,"(37.4443293, -122.1598465)",37.4443293,-122.1598465
"Philadelphia, PA",327,"(39.9527237, -75.1635262)",39.9527237,-75.1635262
"Phoenix, AZ",226,"(33.4484367, -112.0741417)",33.4484367,-112.0741417
"Pittsburgh, PA",194,"(40.4416941, -79.9900861)",40.4416941,-79.9900861
"Portland, ME",108,"(43.6610277, -70.2548596)",43.6610277,-70.2548596
"Portland, OR",399,"(45.5202471, -122.6741949)",45.5202471,-122.6741949
"Providence, RI",133,"(41.8239891, -71.4128343)",41.8239891,-71.4128343
"Queens, NY",95,"(40.7498243, -73.7976337)",40.7498243,-73.7976337
"Raleigh, NC",180,"(35.7803977, -78.6390989)",35.7803977,-78.6390989
"Richmond, VA",190,"(49.1977086, -123.1912406)",37.5407,-77.436
"Rochester, NY",99,"(43.157285, -77.615214)",43.157285,-77.615214
"Sacramento, CA",247,"(38.5810606, -121.4938951)",38.5810606,-121.4938951
"Salem, OR",138,"(44.9391565, -123.033121)",44.9391565,-123.033121
"Salt Lake City, UT",236,"(40.7596198, -111.8867975)",40.7596198,-111.8867975
"San Antonio, TX",89,"(29.4246002, -98.4951405)",29.4246002,-98.4951405
"San Diego, CA",294,"(32.7174202, -117.1627728)",32.7174202,-117.1627728
"San Francisco, CA",325,"(37.7790262, -122.419906)",37.7790262,-122.419906
"San Jose, CA",85,"(37.3361905, -121.890583)",37.3361905,-121.890583
"Santa Fe, NM",71,"(35.6876096, -105.9384569)",35.6876096,-105.9384569
"Seattle, WA",315,"(47.6038321, -122.3300624)",47.6038321,-122.3300624
