,city,count,coord,lat,lon,rank,name,usps,pop2021,pop2010,change,density,aland
0,"Albuquerque, NM",134,"(35.0841034, -106.6509851)",35.0841034,-106.6509851,32,Albuquerque,NM,562281,546755,,1159.622,484883000
1,"Anchorage, AK",76,"(61.2163129, -149.894852)",61.2163129,-149.894852,74,Anchorage,AK,282958,293321,,64.0091,4420590000
2,"Atlanta, GA",173,"(33.7849591, -84.442163)",33.7849591,-84.442163,37,Atlanta,GA,524067,429410,,1490.7028,351557000
3,"Austin, TX",302,"(30.2711286, -97.7436995)",30.2711286,-97.7436995,10,Austin,TX,1011790,806164,,1221.0278,828638000
4,"Bakersfield, CA",78,"(35.3738712, -119.0194639)",35.3738712,-119.0194639,51,Bakersfield,CA,389007,348987,,1002.9288,387871000
5,"Baltimore, MD",132,"(39.2908816, -76.610759)",39.2908816,-76.610759,31,Baltimore,MD,575584,620915,,2745.4388,209651000
6,"Boise, ID",216,"(43.6166163, -116.200886)",43.6166163,-116.200886,101,Boise,ID,229993,209576,,1061.2743,216714000
7,"Boston, MA",365,"(42.3602534, -71.0582912)",42.3602534,-71.0582912,21,Boston,MA,695506,621048,,5555.2929,125197000
8,"Buffalo, NY",122,"(42.8867166, -78.8783922)",42.8867166,-78.8783922,90,Buffalo,NY,254290,261275,,2431.5822,104578000
9,"Charlotte, NC",113,"(35.2272086, -80.8430827)",35.2272086,-80.8430827,15,Charlotte,NC,912096,738444,,1146.2179,795744000
10,"Chicago, IL",393,"(41.8755616, -87.6244212)",41.8755616,-87.6244212,3,Chicago,IL,2679080,2697480,,4549.4344,588882000
11,"Cleveland, OH",89,"(41.5051613, -81.6934446)",41.5051613,-81.6934446,54,Cleveland,OH,376599,395926,,1871.5133,201227000
12,"Colorado Springs, CO",108,"(38.8339578, -104.8253485)",38.8339578,-104.8253485,39,Colorado Springs,CO,489529,420685,,969.2741,505047000
13,"Columbus, OH",143,"(39.9622601, -83.0007065)",39.9622601,-83.0007065,14,Columbus,OH,913921,790943,,1609.8151,567718000
14,"Dallas, TX",202,"(32.7762719, -96.7968559)",32.7762719,-96.7968559,9,Dallas,TX,1347120,1200350,,1530.973,879911000
15,"Denver, CO",237,"(5.3428475, -72.3959849)",39.7392,-104.9903,19,Denver,CO,749103,603359,,1886.7905,397025000
16,"Des Moines, IA",111,"(41.5910323, -93.6046655)",41.5910323,-93.6046655,114,Des Moines,IA,210723,205032,,922.6657,228385000
17,"Detroit, MI",285,"(42.3315509, -83.0466403)",42.3315509,-83.0466403,26,Detroit,MI,664139,711131,,1848.5842,359269000
18,"Durham, NC",86,"(35.996653, -78.9018053)",35.996653,-78.9018053,72,Durham,NC,287865,230727,,990.418,290650000
19,"El Paso, TX",104,"(31.7754152, -106.464634)",31.7754152,-106.464634,22,El Paso,TX,685434,650671,,1028.0765,666715000
20,"Eugene, OR",137,"(44.0505054, -123.0950506)",44.0505054,-123.0950506,156,Eugene,OR,176464,156527,,1543.6509,114316000
21,"Fort Worth, TX",75,"(32.753177, -97.3327459)",32.753177,-97.3327459,12,Fort Worth,TX,942323,748441,,1052.8055,895059000
22,"Grand Rapids, MI",74,"(42.9632405, -85.6678639)",42.9632405,-85.6678639,122,Grand Rapids,MI,202767,188007,,1749.2128,115919000
23,"Houston, TX",129,"(29.7589382, -95.3676974)",29.7589382,-95.3676974,4,Houston,TX,2323660,2100280,,1401.4076,1658090000
24,"Indianapolis, IN",146,"(39.9164009, -86.0519568269157)",39.9164009,-86.05195683,16,Indianapolis,IN,887232,821579,,947.4268,936465000
25,"Jacksonville, FL",126,"(30.3321838, -81.655651)",30.3321838,-81.655651,13,Jacksonville,FL,929647,823114,,480.2069,1935930000
26,"Kansas City, MO",123,"(39.100105, -94.5781416)",39.100105,-94.5781416,38,Kansas City,MO,501957,460697,,615.482,815551000
27,"Las Vegas, NV",155,"(36.1672559, -115.1485163)",36.1672559,-115.1485163,25,Las Vegas,NV,667501,584576,,1817.937,367175000
28,"Lexington, KY",106,"(38.0464066, -84.4970393)",38.0464066,-84.4970393,61,Lexington,KY,324604,296848,,441.8689,734616000
29,"Lincoln, NE",87,"(40.8088861, -96.7077751)",40.8088861,-96.7077751,70,Lincoln,NE,293446,259455,,1177.4718,249217000
30,"Little Rock, AR",72,"(34.7464809, -92.2895948)",34.7464809,-92.2895948,133,Little Rock,AR,196968,193972,,633.7921,310777000
31,"Los Angeles, CA",450,"(34.0536909, -118.242766)",34.0536909,-118.242766,2,Los Angeles,CA,3983540,3795510,,3279.7405,1214590000
32,"Louisville, KY",289,"(38.2542376, -85.759407)",38.2542376,-85.759407,29,Louisville,KY,615924,596482,,902.7292,682291000
33,"Madison, WI",190,"(43.074761, -89.3837613)",43.074761,-89.3837613,86,Madison,WI,263332,233730,,1281.5082,205486000
34,"Memphis, TN",126,"(35.1490215, -90.0516285)",35.1490215,-90.0516285,28,Memphis,TN,651011,652326,,792.0324,821950000
35,"Miami, FL",150,"(25.7741728, -80.19362)",25.7741728,-80.19362,42,Miami,FL,478251,400779,,5129.7698,93230500
36,"Milwaukee, WI",152,"(43.0349931, -87.922497)",43.0349931,-87.922497,30,Milwaukee,WI,587721,594865,,2359.2357,249115000
37,"Minneapolis, MN",204,"(44.9772995, -93.2654692)",44.9772995,-93.2654692,46,Minneapolis,MN,439012,383067,,3138.9838,139858000
38,"Nashville, TN",158,"(36.1622296, -86.7743531)",36.1622296,-86.7743531,23,Nashville,TN,678448,604589,,550.8448,1231650000
39,"New Orleans, LA",103,"(29.9499323, -90.0701156)",29.9499323,-90.0701156,53,New Orleans,LA,388424,347772,,885.1335,438831000
40,"New York, NY",657,"(40.7127281, -74.0060152)",40.7127281,-74.0060152,1,New York,NY,8230290,8190210,,10579.0101,777983000
41,"Oakland, CA",140,"(37.8044557, -122.2713563)",37.8044557,-122.2713563,45,Oakland,CA,440981,391406,,3046.2273,144763000
42,"Oklahoma City, OK",111,"(35.4729886, -97.5170536)",35.4729886,-97.5170536,24,Oklahoma City,OK,669347,582516,,426.1511,1570680000
43,"Omaha, NE",95,"(41.2587459, -95.9383758)",41.2587459,-95.9383758,41,Omaha,NE,479978,459659,,1314.4896,365144000
44,"Orlando, FL",79,"(28.5421109, -81.3790304)",28.5421109,-81.3790304,71,Orlando,FL,290520,239326,,1014.5768,286346000
45,"Philadelphia, PA",327,"(39.9527237, -75.1635262)",39.9527237,-75.1635262,6,Philadelphia,PA,1585010,1528280,,4557.4814,347782000
46,"Phoenix, AZ",226,"(33.4484367, -112.0741417)",33.4484367,-112.0741417,5,Phoenix,AZ,1733630,1449040,,1293.0107,1340770000
47,"Pittsburgh, PA",194,"(40.4416941, -79.9900861)",40.4416941,-79.9900861,67,Pittsburgh,PA,299718,305283,,2089.7339,143424000
48,"Portland, OR",399,"(45.5202471, -122.6741949)",45.5202471,-122.6741949,27,Portland,OR,662549,585429,,1917.3308,345558000
49,"Providence, RI",133,"(41.8239891, -71.4128343)",41.8239891,-71.4128343,150,Providence,RI,180609,178029,,3788.7112,47670300
50,"Raleigh, NC",180,"(35.7803977, -78.6390989)",35.7803977,-78.6390989,40,Raleigh,NC,483579,406353,,1279.8377,377844000
51,"Richmond, VA",190,"(49.1977086, -123.1912406)",37.5407,-77.436,99,Richmond,VA,232866,204302,,1500.4253,155200000
52,"Rochester, NY",99,"(43.157285, -77.615214)",43.157285,-77.615214,119,Rochester,NY,205077,210217,,2213.8248,92634700
53,"Sacramento, CA",247,"(38.5810606, -121.4938951)",38.5810606,-121.4938951,36,Sacramento,CA,525398,467286,,2075.6956,253119000
54,"Salem, OR",138,"(44.9391565, -123.033121)",44.9391565,-123.033121,153,Salem,OR,177803,155247,,1409.9041,126110000
55,"Salt Lake City, UT",236,"(40.7596198, -111.8867975)",40.7596198,-111.8867975,125,Salt Lake City,UT,200831,186643,,700.4747,286707000
56,"San Antonio, TX",89,"(29.4246002, -98.4951405)",29.4246002,-98.4951405,7,San Antonio,TX,1581730,1332300,,1258.8982,1256440000
57,"San Diego, CA",294,"(32.7174202, -117.1627728)",32.7174202,-117.1627728,8,San Diego,CA,1427720,1305910,,1691.5753,844018000
58,"San Francisco, CA",325,"(37.7790262, -122.419906)",37.7790262,-122.419906,17,San Francisco,CA,883255,805505,,7270.905,121478000
59,"San Jose, CA",85,"(37.3361905, -121.890583)",37.3361905,-121.890583,11,San Jose,CA,1009340,954940,,2191.735,460521000
60,"Seattle, WA",315,"(47.6038321, -122.3300624)",47.6038321,-122.3300624,18,Seattle,WA,776555,610630,,3575.2828,217201000
61,"Spokane, WA",122,"(47.6571934, -117.4235106)",47.6571934,-117.4235106,102,Spokane,WA,227579,209525,,1277.9163,178086000
62,"Springfield, MO",71,"(37.2166779, -93.2920373)",37.2166779,-93.2920373,163,Springfield,MO,168568,159376,,789.9379,213394000
63,"St. Louis, MO",204,"(38.6529545, -90.24111656024635)",38.6529545,-90.24111656,69,St. Louis,MO,294890,319336,,1844.0421,159915000
64,"St. Paul, MN",172,"(44.9504037, -93.1015026)",44.9504037,-93.1015026,64,St. Paul,MN,310368,285510,,2305.4776,134622000
65,"Tallahassee, FL",140,"(30.4380832, -84.2809332)",30.4380832,-84.2809332,129,Tallahassee,FL,197974,181438,,760.7772,260226000
66,"Tampa, FL",112,"(27.9477595, -82.458444)",27.9477595,-82.458444,47,Tampa,FL,404636,337053,,1370.2447,295302000
67,"Tucson, AZ",90,"(32.2228765, -110.9748477)",32.2228765,-110.9748477,33,Tucson,AZ,554503,527160,,899.5043,616454000
